Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,,,A filter variable that is used to decide if entry is in the smaller resume. 
section,title,loc,institution,start,end,description_1,description_2,description_3,description_4,,in_resume
education,"MSc, Machine Learning",Royal Holloway University,"London, UK",2016,2018,Grade: Distinction,"Selected modules: Deep Learning, Tree-based methods, Regression, Unsupervised Learning, Natural language processing, Large-scale Data Analytics (Big Data)","Thesis: Predictive Maintenance with Conformal and Probabilistic Prediction -
 A Commercial Case Study. Won best thesis award.",,,TRUE
education,"MSci, Chemistry",Imperial College,"London, UK",2009,2013,Grade: 2:1,Masters project in computational chemical physics: Heat Transfer in Ionic Liquids,,,,TRUE
industry_positions,Data Scientist,Centrica ,"London, UK",2017,Current,"Responsible for data exploration and cleaning, feature engineering, modelling and reporting/deployment","Participated in several value-adding projects related to predictive maintenance, revenue forecasting and safety incidents",Gained experience with modern ML frameworks such as Tensorflow and Apache Spark and cloud architectures such as AWS and Microsoft Azure,Also responsible for some employee training and recruitment (see below),,TRUE
industry_positions,Business Analyst,ExxonMobil,"London, UK",2013,2017,Numerous analytical tasks relating to European gas and power markets,,,,,TRUE
academic_articles,[Journal article: Multi-level conformal clustering: A distribution-free technique for clustering and anomaly detection](https://www.sciencedirect.com/science/article/abs/pii/S0925231219316169),"Neurocomputing, Volume 397, 2020, pp. 279-291",,2020,2020,Introduces a novel clustering technique which also incorporates anomaly detection,,,,,TRUE
academic_articles,[Poster abstract: Conformal Anomaly Detection based on Association Rules](http://proceedings.mlr.press/v105/balinsky19a.html),"Proceedings of Machine Learning Research, Volume 105, 2019, pp.246-7",,2019,2019,Introduces a novel machine learning technique for database cleaning,,,,,TRUE
talks_and_teaching,Workshop: Business Analytics in R - An Introduction to Statistical Programming,Centrica ,Various Locations,2018,,I have presented this workshop several times to company employees across the UK.,,,,,TRUE
talks_and_teaching,[Talk: Machine Learning: Progress & Prospects](https://www.youtube.com/watch?v=n5iz5GPdO5Y),Odessa (Mechnikov) University,"Odessa, Ukraine",2018,2018,Guest lecture at Data Science meetup; available on Youtube.,,,,,TRUE